name,birthday,phones
Ivan - 0,14.05.1921,0638501099|0671234567
Ivan - 1,22.09.1954,0638501099|0671234567
Ivan - 2,10.01.1973,0638501099|0671234567
Ivan - 3,09.06.1925,0638501099|0671234567
Ivan - 4,26.08.1971,0638501099|0671234567
Ivan - 5,20.10.1915,0638501099|0671234567
Ivan - 6,03.01.1977,0638501099|0671234567
Ivan - 7,27.06.1949,0638501099|0671234567
Ivan - 8,04.09.1977,0638501099|0671234567
Ivan - 9,05.05.1965,0638501099|0671234567
Ivan - 10,09.07.1954,0638501099|0671234567
Ivan - 11,14.08.1912,0638501099|0671234567
Ivan - 12,13.02.1913,0638501099|0671234567
Ivan - 13,11.07.1978,0638501099|0671234567
Ivan - 14,17.06.1981,0638501099|0671234567
Ivan - 15,27.07.1985,0638501099|0671234567
Ivan - 16,22.11.1947,0638501099|0671234567
Ivan - 17,28.11.1936,0638501099|0671234567
Ivan - 18,24.04.1998,0638501099|0671234567
Ivan - 19,23.09.1988,0638501099|0671234567
Ivan - 20,18.02.1992,0638501099|0671234567
Ivan - 21,10.11.1924,0638501099|0671234567
Ivan - 22,16.10.1983,0638501099|0671234567
Ivan - 23,07.02.1992,0638501099|0671234567
Ivan - 24,17.03.1922,0638501099|0671234567
Ivan - 25,05.11.1911,0638501099|0671234567
Ivan - 26,28.03.1927,0638501099|0671234567
Ivan - 27,08.10.1979,0638501099|0671234567
Ivan - 28,20.05.1931,0638501099|0671234567
Ivan - 29,10.11.1986,0638501099|0671234567
Ivan - 30,07.05.1985,0638501099|0671234567
Ivan - 31,22.04.1964,0638501099|0671234567
Ivan - 32,09.05.1917,0638501099|0671234567
Ivan - 33,02.05.1990,0638501099|0671234567
Ivan - 34,17.05.1960,0638501099|0671234567
Ivan - 35,15.12.1954,0638501099|0671234567
Ivan - 36,25.05.1969,0638501099|0671234567
Ivan - 37,12.02.1942,0638501099|0671234567
Ivan - 38,21.02.1971,0638501099|0671234567
Ivan - 39,10.02.1965,0638501099|0671234567
Ivan - 40,14.05.1913,0638501099|0671234567
Ivan - 41,08.07.1927,0638501099|0671234567
Ivan - 42,26.03.1977,0638501099|0671234567
Ivan - 43,28.05.1924,0638501099|0671234567
Ivan - 44,20.05.1972,0638501099|0671234567
Ivan - 45,24.02.1940,0638501099|0671234567
Ivan - 46,08.09.1911,0638501099|0671234567
Ivan - 47,12.10.1979,0638501099|0671234567
Ivan - 48,02.02.1916,0638501099|0671234567
Ivan - 49,21.06.1983,0638501099|0671234567
Ivan - 50,12.03.1945,0638501099|0671234567
Ivan - 51,10.06.1954,0638501099|0671234567
Ivan - 52,23.01.1973,0638501099|0671234567
Ivan - 53,22.06.1987,0638501099|0671234567
Ivan - 54,05.09.1977,0638501099|0671234567
Ivan - 55,19.10.1965,0638501099|0671234567
Ivan - 56,19.08.1984,0638501099|0671234567
Ivan - 57,15.07.1950,0638501099|0671234567
Ivan - 58,24.09.1966,0638501099|0671234567
